Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H2AK00028,"MALLOTT, RONALD CREIGHTON",,1,DEM,6187,0,6087,0,0,0,0,0,0,0,0,0,0,AK,0,,L,,,0,0,0,12/31/1982,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,243663,0,248173,0,0,0,0,0,0,0,0,0,0,AK,0,,W,,W,71,0,0,12/31/1982,0,0
H0AK01012,"PARNELL, KEVIN ""PAT""",,1,DEM,17770,0,18424,0,0,0,0,0,0,0,0,0,0,AK,1,,,,,,0,0,12/31/1982,0,0
H2AL01010,"GUDAC, STEPHEN M",,1,DEM,59111,0,59032,0,0,0,0,0,0,0,0,0,0,AL,1,,,,L,38,0,0,12/31/1982,0,0
H6AL01011,"EDWARDS, WILLIAM JACKSON III",I,2,REP,118455,0,77023,0,0,0,0,0,0,0,0,0,0,AL,1,,,,W,61,0,0,12/31/1982,0,0
H2AL02018,"LEE, LARRY GREELEY",,1,DEM,29696,0,29667,0,0,0,0,0,0,0,0,0,0,AL,2,,L,,,0,0,0,9/30/1982,0,0
H2AL02026,"STONE, CHARLES MERCER",,1,DEM,9543,0,9543,0,0,0,0,0,0,0,0,0,0,AL,2,,L,,,0,0,0,9/10/1982,0,0
H2AL02034,"CAMP, BILLY JOE",,1,DEM,128058,0,121817,0,0,0,0,0,0,0,0,0,0,AL,2,,W,,L,50,0,0,12/31/1982,0,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",I,2,REP,300183,0,287346,0,0,0,0,0,0,0,0,0,0,AL,2,,,,W,50,0,0,12/31/1982,0,0
H6AL03025,"NICHOLS, BILL",I,1,DEM,86764,0,21458,0,0,0,0,0,0,0,0,0,0,AL,3,,,,W,96,0,0,12/31/1982,0,0
H6AL04023,"BEVILL, TOM",I,1,DEM,163675,0,63927,0,0,0,0,0,0,0,0,0,0,AL,4,,,,W,100,0,0,12/31/1982,0,0
H6AL05038,"FLIPPO, RONNIE GENE",I,1,DEM,210472,0,197401,0,0,0,0,0,0,0,0,0,0,AL,5,,,,W,81,0,0,12/31/1982,0,0
H6AL05111,"POTTS, ROBERT LESLIE",,1,DEM,0,0,200,0,0,0,0,0,0,0,0,0,0,AL,5,,,,,,0,0,7/31/1981,0,0
H2AL05011,"YAMBREK, LEOPOLD M",,2,REP,33090,0,32888,0,0,0,0,0,0,0,0,0,0,AL,5,,,,L,18,0,0,12/31/1982,0,0
H0AL06013,"CLIFFORD, WESLEY BRYANT ""PETE""",,1,DEM,1345,0,2078,0,0,0,0,0,0,0,0,0,0,AL,6,,,,,,0,0,12/31/1981,0,0
H2AL06019,"ERDREICH, BEN",,1,DEM,214733,0,204648,0,0,0,0,0,0,0,0,0,0,AL,6,,,,W,53,0,0,12/31/1982,0,0
H6AL06028,"BUCHANAN, JOHN H.",C,2,REP,3338,0,5233,0,0,0,0,0,0,0,0,0,0,AL,6,,,,,,0,0,6/30/1981,0,0
H8AL06016,"SMITH, ALBERT LEE JR",I,2,REP,540469,0,537985,0,0,0,0,0,0,0,0,0,0,AL,6,,,,L,46,0,0,12/31/1982,0,0
H2AL07017,"KARTUS, JACK L",,1,DEM,132301,0,131938,0,0,0,0,0,0,0,0,0,0,AL,7,,L,,,0,0,0,12/31/1982,0,0
H8AL07014,"SHELBY, RICHARD CRAIG",I,1,DEM,672846,0,511771,0,0,0,0,0,0,0,0,0,0,AL,7,,W,,W,97,0,0,12/31/1982,0,0
H6AR01023,"ALEXANDER, WILLIAM VOLLIE JR",I,1,DEM,411423,0,482410,0,0,0,0,0,0,0,0,0,0,AR,1,,,,W,65,0,0,12/31/1982,0,0
H2AR01014,"BANKS, CHARLES ALFRED",,2,REP,248262,0,236462,0,0,0,0,0,0,0,0,0,0,AR,1,,,,L,35,0,0,12/31/1982,0,0
H2AR02012,"GEORGE, CHARLES L",,1,DEM,60708,0,60706,0,0,0,0,0,0,0,0,0,0,AR,2,,,,L,46,0,0,12/31/1982,0,0
H8AR02068,"BETHUNE, ED",I,2,REP,157382,0,225260,0,0,0,0,0,0,0,0,0,0,AR,2,,,,W,54,0,0,12/31/1982,0,0
H2AR03010,"MCDOUGAL, JAMES BERT",,1,DEM,192171,0,192168,0,0,0,0,0,0,0,0,0,0,AR,3,,W,,L,34,0,0,12/31/1982,0,0
H2AR03028,"JOHNSON, ROBERT LEE",,1,DEM,4900,0,4840,0,0,0,0,0,0,0,0,0,0,AR,3,,L,,,0,0,0,5/10/1982,0,0
H6AR03029,"HAMMERSCHMIDT, JOHN PAUL",I,2,REP,232797,0,259511,0,0,0,0,0,0,0,0,0,0,AR,3,,,,W,66,0,0,12/31/1982,0,0
H2AR04026,"LYON, WILLIAM CAIN",,1,DEM,7671,0,8322,0,0,0,0,0,0,0,0,0,0,AR,4,,L,,,0,0,0,6/30/1982,0,0
H8AR04023,"ANTHONY, BERYL FRANKLIN JR",I,1,DEM,337956,0,351472,0,0,0,0,0,0,0,0,0,0,AR,4,,W,,W,66,0,0,12/31/1982,0,0
H8AR04056,"WYNNE, THOMAS DUNCAN III",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,4,,,,,,0,0,6/30/1981,0,0
H2AR04018,"LESLIE, ROBERT BRUCE (BOB)",,2,REP,187609,0,186180,0,0,0,0,0,0,0,0,0,0,AR,4,,,,L,34,0,0,12/31/1982,0,0
H0AS00026,"SUNIA, FOFO I F",I,1,DEM,8876,0,8875,0,0,0,0,0,0,0,0,0,0,AS,0,,,,W,100,0,0,12/31/1982,0,0
H0AS00034,"MULITAUAOPELE, I",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,0,,,,,,0,0,6/30/1981,0,0
H2AZ01057,"HEGARTY, WILLIAM E (BILL)",O,1,DEM,4388,0,4387,0,0,0,0,0,0,0,0,0,0,AZ,1,,W,,L,31,0,0,11/15/1982,0,0
H2AZ01016,"WEST, DONNA CARLSON",O,2,REP,120388,0,120399,0,0,0,0,0,0,0,0,0,0,AZ,1,,L,,,0,0,0,12/31/1982,0,0
H2AZ01024,"MCCAIN, JOHN",O,2,REP,454665,0,442760,0,0,0,0,0,0,0,0,0,0,AZ,1,,W,,W,66,0,0,12/31/1982,0,0
H2AZ01032,"MACK, JAMES A",O,2,REP,164490,0,166592,0,0,0,0,0,0,0,0,0,0,AZ,1,,L,,,0,0,0,12/31/1982,0,0
H2AZ01040,"RUSSELL, RAYMOND LOUIS",O,2,REP,185077,0,183059,0,0,0,0,0,0,0,0,0,0,AZ,1,,L,,,0,0,0,12/31/1982,0,0
H6AZ02049,"UDALL, MORRIS K",I,1,DEM,794533,0,840142,0,0,0,0,0,0,0,0,0,0,AZ,2,,W,,W,71,0,0,12/31/1982,0,0
H2AZ02022,"LAOS, ROY B III",,2,REP,86197,0,93504,0,0,0,0,0,0,0,0,0,0,AZ,2,,W,,L,27,0,0,12/31/1982,0,0
H2AZ03012,"BOSCH, PAT",,1,DEM,90316,0,89607,0,0,0,0,0,0,0,0,0,0,AZ,3,,W,,L,37,0,0,12/31/1982,0,0
H6AZ03062,"ROSEN, SID",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,6/30/1981,0,0
H6AZ03088,"GABALDON, MR. TONY",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,6/30/1981,0,0
H8AZ03019,"MATTHEWS, HARRY GLEN",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,6/30/1981,0,0
H0AZ03016,"CROFT, BOB",,2,REP,300,0,324,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,12/31/1982,0,0
H6AZ03054,"KOORY JR., EDWARD FREDERICK",,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,3,,,,,,0,0,6/30/1981,0,0
H6AZ03112,"STUMP, BOB",I,2,REP,280712,0,296458,0,0,0,0,0,0,0,0,0,0,AZ,3,,W,,W,63,0,0,12/31/1982,0,0
H6AZ04011,"BROWN, BYRON T.",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,4,,,,,,0,0,6/30/1981,0,0
H8AZ04017,"MILLER, LES",,1,DEM,3169,0,3000,0,0,0,0,0,0,0,0,0,0,AZ,4,,,,,,0,0,6/30/1981,0,0
H6AZ04029,"RUDD, ELDON",I,2,REP,299854,0,248536,0,0,0,0,0,0,0,0,0,0,AZ,4,,W,,W,66,0,0,12/31/1982,0,0
H2AZ05017,"MCNULTY, JAMES F JR",O,1,DEM,350868,0,343318,0,0,0,0,0,0,0,0,0,0,AZ,5,,W,,W,50,0,0,12/31/1982,0,0
H2AZ05033,"TOM, SOLENG",O,1,DEM,14648,0,16647,0,0,0,0,0,0,0,0,0,0,AZ,5,,L,,,0,0,0,10/15/1982,0,0
H0AZ02018,"HUFF, RICHARD H ""DICK""",O,2,REP,391274,0,404897,0,0,0,0,0,0,0,0,0,0,AZ,5,,L,,,0,0,0,12/31/1982,0,0
H2AZ02014,"KOLBE, JIM",O,2,REP,422794,0,390862,0,0,0,0,0,0,0,0,0,0,AZ,5,,W,,L,48,0,0,12/31/1982,0,0
H2AZ05025,"JOYNER, CONRAD FRANCIS",O,2,REP,211683,0,206446,0,0,0,0,0,0,0,0,0,0,AZ,5,,L,,,0,0,0,12/31/1982,0,0
H0CA01056,"MURPHY, TRACY",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,,,,,,0,0,6/30/1982,0,0
H2CA01011,"BOSCO, DOUGLAS H",,1,DEM,248752,0,258800,0,0,0,0,0,0,0,0,0,0,CA,1,,W,,W,50,0,0,12/31/1982,0,0
H2CA01029,"KOEPF, MICHAEL",,1,DEM,10022,0,10021,0,0,0,0,0,0,0,0,0,0,CA,1,,L,,,0,0,0,10/15/1982,0,0
H6CA01046,"JOHNSON, HON. HAROLD T.",C,1,DEM,215,0,6342,0,0,0,0,0,0,0,0,0,0,CA,1,,,,,,0,0,12/31/1982,0,0
H6CA02044,"CLAUSEN, DONALD H.",I,2,REP,430055,0,515243,0,0,0,0,0,0,0,0,0,0,CA,1,,W,,L,47,0,0,12/31/1982,0,0
H0CA02013,"WINDREM, PETER FOLGER",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2,,,,,,0,0,12/31/1982,0,0
H2CA02019,"CARRICO, JACK EDWARD",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,2,,L,,,0,0,0,7/15/1982,0,0
H2CA02027,"NEWMEYER, JOHN A",,1,DEM,99200,0,95220,0,0,0,0,0,0,0,0,0,0,CA,2,,W,,L,41,0,0,1/26/1983,0,0
H8CA02016,"BORK, NORMA (KOESTER)",,1,DEM,3276,0,4839,0,0,0,0,0,0,0,0,0,0,CA,2,,,,,,0,0,12/31/1981,0,0
H0CA01015,"CHAPPIE, EUGENE ""GENE""",I,2,REP,458799,0,432306,0,0,0,0,0,0,0,0,0,0,CA,2,,W,,W,58,0,0,12/31/1982,0,0
H8CA03014,"MATSUI, ROBERT T.",I,1,DEM,267641,0,140652,0,0,0,0,0,0,0,0,0,0,CA,3,,W,,W,90,0,0,12/31/1982,0,0
H8CA03022,"ISENBERG, PHILLIP",C,1,DEM,100,0,0,0,0,0,0,0,0,0,0,0,0,CA,3,,,,,,0,0,6/30/1981,0,0
H8CA03030,"GUALCO, EUGENE T.",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,3,,,,,,0,0,6/30/1981,0,0
H8CA03055,"MURPHY, JOSEPH",,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,3,,,,,,0,0,10/8/1981,0,0
H0CA03029,"DANIEL, BRUCE A.",,3,LIB,890,0,916,0,0,0,0,0,0,0,0,0,0,CA,3,,W,,L,7,0,0,12/31/1982,0,0
H8CA04053,"FAZIO, VICTOR HERBERT",I,1,DEM,336964,0,314033,0,0,0,0,0,0,0,0,0,0,CA,4,,W,,W,64,0,0,12/31/1982,0,0
H2CA04015,"CANFIELD, ROGER BLAINE II",,2,REP,62014,0,55739,0,0,0,0,0,0,0,0,0,0,CA,4,,W,,L,36,0,0,12/31/1982,0,0
H6CA04032,"DEHR, MR. ALBERT",C,2,REP,0,0,149,0,0,0,0,0,0,0,0,0,0,CA,4,,,,,,0,0,6/30/1981,0,0
H8CA04012,"HIME, REX STEWART",C,2,REP,500,0,521,0,0,0,0,0,0,0,0,0,0,CA,4,,,,,,0,0,6/30/1981,0,0
H6CA06029,"BURTON, PHILLIP",I,1,DEM,788190,0,779801,0,0,0,0,0,0,0,0,0,0,CA,5,,W,,W,58,0,0,12/31/1982,0,0
H2CA05012,"MARKS, MILTON",,2,REP,850586,0,837483,0,0,0,0,0,0,0,0,0,0,CA,5,,W,,L,40,0,0,12/31/1982,0,0
H2CA06010,"HOOVER, MARK GEE",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,5,,,,,,0,0,4/1/1982,0,0
H6CA06060,"SPINOSA, TOM",,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,5,,L,,,0,0,0,7/31/1981,0,0
H0CA05024,"DOUGHERTY, DAN P",,3,LIB,311,0,1085,0,0,0,0,0,0,0,0,0,0,CA,5,,,,,,0,0,5/15/1981,0,0
H2CA06028,"BOXER, BARBARA",O,1,DEM,519313,0,531401,0,0,0,0,0,0,0,0,0,0,CA,6,,W,,W,52,0,0,12/31/1982,0,0
H2CA06036,"RENNE, LOUISE HORNBECK",O,1,DEM,323918,0,328472,0,0,0,0,0,0,0,0,0,0,CA,6,,L,,,0,0,0,12/31/1982,0,0
H2CA06051,"INTINTOLI, ANTHONY JOHN JR",O,1,DEM,8975,0,8974,0,0,0,0,0,0,0,0,0,0,CA,6,,L,,,0,0,0,9/30/1982,0,0
H2CA06069,"MOUNTANOS, LOUIS PETER",O,1,DEM,8470,0,8469,0,0,0,0,0,0,0,0,0,0,CA,6,,L,,,0,0,0,6/11/1982,0,0
H6CA05021,"BURTON, JOHN",I,1,DEM,71105,0,87805,0,0,0,0,0,0,0,0,0,0,CA,6,,,,,,0,0,12/31/1982,0,0
H0CA05016,"MCQUAID, JOHN DENNIS",O,2,REP,622085,0,621477,0,0,0,0,0,0,0,0,0,0,CA,6,,W,,L,45,0,0,12/31/1982,0,0
