Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H0AK01020,"DEVENS, JOHN",,1,DEM,168038,0,164732,0,0,3307,2957,62604,0,20223,0,42632,67726,AK,0,,W,,L,48,13150,21600,12/31/1990,250,0
H2AK00028,"MALLOTT, RONALD CREIGHTON",,1,DEM,1443,0,1443,0,0,0,6443,0,0,0,0,0,0,AK,0,,,,,,0,0,11/14/1989,0,0
H8AK00033,"GRUENSTEIN, PETER",,1,DEM,1711,0,1765,0,217,163,0,1512,0,0,0,83934,199,AK,0,,,,,,0,0,12/31/1990,250,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,560908,0,564759,0,9394,5543,0,0,0,0,0,100119,265345,AK,0,,W,,W,52,277725,5713,12/31/1990,1100,0
H4AL01016,"ALEXANDER, DAN C JR",C,1,DEM,0,0,0,0,12096,12096,0,0,0,0,0,29800,0,AL,1,,,,,,0,0,12/31/1990,0,0
H8AL01033,"TYSON, JOHN M JR",,1,DEM,229,0,3334,2222,3105,0,0,0,0,0,0,0,0,AL,1,,,,,,0,0,6/30/1989,0,0
H4AL01024,"STOUDENMIRE, WILLIAM WARD",C,2,REP,19199,0,19199,0,0,0,19199,0,0,19199,0,19199,0,AL,1,,,,,,0,0,6/30/1990,0,0
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,318680,0,183910,0,101741,236511,0,0,0,0,0,0,129153,AL,1,,W,,W,100,169350,808,12/31/1990,40,0
H0AL02046,"BAGGIANO, FAYE S",,1,DEM,169109,0,163663,0,0,5445,10993,10000,0,10000,0,0,38099,AL,2,,W,,L,49,91752,14425,12/31/1990,0,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",I,2,REP,425127,0,596096,0,421368,250325,0,0,0,0,0,0,171618,AL,2,,W,,W,51,218921,400,12/31/1990,0,0
H0AL03036,"BROWDER, JOHN GLEN",I,1,DEM,902695,0,784745,0,0,119913,0,16500,5000,16499,5000,0,256407,AL,3,R,W,W,W,74,572475,41289,12/31/1990,2550,0
