Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H0AK01020,"DEVENS, JOHN S",,1,DEM,26038,0,29199,0,3720,561,17359,5000,0,18197,0,99652,2630,AK,0,,,,,,0,447,12/31/1994,0,0
H4AK00024,"BEGICH, MARGARET (PEGGE)",,1,DEM,198134,0,226076,0,27941,0,198134,0,0,166450,0,0,0,AK,0,,,,,,0,0,12/31/1993,0,0
H4AK00040,"SMITH, TONY",,1,DEM,344592,0,343879,0,0,710,896,16500,0,1500,0,35926,262604,AK,0,,W,,L,33,52050,11950,12/31/1994,1000,0
H4AK00057,"VONDERSAAR, FRANK J",,1,DEM,1100,0,1100,0,0,0,0,950,0,801,0,149,0,AK,0,,L,,,0,0,0,1/1/1995,0,0
H4AK01014,"FREIBERGER, LAWRENCE JOSEPH",,1,DEM,475,0,295,0,0,180,0,300,0,0,0,300,175,AK,0,,L,,,0,0,0,12/31/1994,0,0
H8AK00033,"GRUENSTEIN, PETER",,1,DEM,0,0,0,0,163,163,0,0,0,0,0,83934,0,AK,0,,,,,,0,0,6/30/1994,0,0
H2AK00069,"COLLINS, VIRGINIA MARIE",,2,REP,82,0,39,0,1403,1455,0,0,0,0,0,49150,0,AK,0,,,,,,0,0,12/31/1994,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,963387,0,930513,0,-86,32779,0,0,0,0,0,0,546125,AK,0,,W,,W,57,409153,875,12/31/1994,1000,3500
H4AK01022,"WHITMORE, JONI",,3,UNK,24377,0,24033,0,0,343,478,0,0,0,0,0,20034,AK,0,,W,,L,10,0,0,12/31/1994,200,0
H2AL01036,"BREWER, WILLIAM A",,1,DEM,0,0,0,0,199,449,0,0,0,0,0,11936,0,AL,1,,,,,,0,0,6/30/1994,0,0
H4AL01016,"ALEXANDER, DAN C JR",C,1,DEM,0,0,0,0,12096,12096,0,0,0,0,0,29800,0,AL,1,,,,,,0,0,6/30/1993,0,0
H4AL01081,"CHAMBERLAIN, DON",,1,DEM,15000,0,14975,0,0,25,0,15000,0,0,0,0,0,AL,1,,L,,L,33,0,0,5/18/1994,0,0
H4AL01107,"WOMACK, DON",,1,DEM,76487,0,65689,0,0,104,9670,26650,0,0,0,21905,16002,AL,1,,W,,,0,23600,300,12/31/1994,0,0
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,339576,0,416080,0,228837,152333,0,0,0,0,0,0,84545,AL,1,,W,,W,67,151606,116,12/31/1994,0,0
H2AL02018,"LEE, LARRY",C,1,DEM,1994,0,2802,500,0,0,0,0,0,2802,0,2196,0,AL,2,,,,,,0,0,12/31/1994,0,0
H2AL02042,"WALLACE, GEORGE C JR",C,1,DEM,23912,0,24603,0,1367,675,0,0,0,100,0,38980,19710,AL,2,,,,,,3250,0,12/31/1994,750,0
H4AL02055,"DOWLING, BRIAN WESTERVELT",,1,DEM,22789,0,22742,0,0,45,0,18028,0,0,0,18028,2240,AL,2,,W,,L,26,2000,450,12/31/1994,0,0
H2AL02067,"EVERETT, ROBERT TERRY",I,2,REP,371419,0,224606,0,27228,174042,58790,0,0,30000,0,933493,187715,AL,2,,W,,W,74,119806,484,12/31/1994,2000,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",C,2,REP,-13079,0,66595,11500,331461,251783,0,0,0,0,0,0,0,AL,2,,,,,,0,0,12/31/1994,0,0
