Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H0AK01020,"DEVENS, JOHN S",,1,DEM,8340,0,11345,0,544,-1663,8340,0,0,2168,0,51419,0,AK,0,,,,,,0,0,1/1/1997,0,0
H4AK00040,"SMITH, TONY",,1,DEM,25042,0,25752,0,710,0,0,19828,0,26,0,34801,5014,AK,0,,,,,,0,0,12/31/1996,0,0
H4AK01022,"WHITMORE, JONI LEE",,1,DEM,22776,154,22385,154,346,737,55,0,0,0,0,2072,21920,AK,0,,,,,,0,0,12/31/1996,0,0
H6AK01019,"LINCOLN, GEORGIANNA",,1,DEM,246827,0,241694,0,0,491,0,2500,0,0,0,22681,212577,AK,0,,W,,L,37,21800,9950,12/31/1996,50,0
H8AK00033,"GRUENSTEIN, PETER",,1,DEM,200,0,363,0,163,0,0,0,0,363,0,83571,0,AK,0,,,,,,0,0,12/31/1995,0,0
H2AK00069,"COLLINS, VIRGINIA MARIE",,2,REP,85,0,0,0,1455,1542,0,0,0,0,0,49150,0,AK,0,,,,,,0,0,12/31/1996,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,1171389,1500,1176954,0,32779,27213,0,0,0,0,0,35683,540484,AK,0,,W,,W,59,599261,2750,12/31/1996,5550,1500
H6AK00128,"NEMEC, WILLIAM JAMES II",,3,OTH,0,0,50,0,50,0,0,0,0,0,0,0,0,AK,0,,W,,L,2,0,0,11/30/1996,0,0
H4AL01107,"WOMACK, DON",,1,DEM,92342,0,39826,0,104,52618,0,0,0,0,0,23223,21845,AL,1,,W,,L,34,66800,2900,10/16/1996,0,0
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,337917,0,402128,0,152333,88123,0,0,0,0,0,0,142210,AL,1,,W,,W,65,173455,10349,12/31/1996,0,1500
H2AL02042,"WALLACE, GEORGE C JR",C,1,DEM,11158,0,11150,0,675,698,879,0,0,7446,0,31533,7750,AL,2,,,,,,2500,0,12/31/1996,0,0
H4AL02055,"DOWLING, BRIAN WESTERVELT",,1,DEM,248,0,0,0,45,293,0,248,0,0,0,18277,0,AL,2,,,,,,0,0,12/31/1995,0,0
