Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H0AK00055,"GREENE, CLIFFORD MARK",C,1,DEM,464,0,462,0,0,5,114,95,0,50,0,45,255,AK,0,,W,,L,16,0,0,12/31/2000,0,0
H4AK00057,"VONDERSAAR, FRANK J",C,1,DEM,885,0,884,0,0,0,0,700,0,187,0,212,0,AK,0,,L,,,0,0,0,9/15/2000,0,0
H6AK01019,"LINCOLN, GEORGIANNA",C,1,DEM,0,0,1753,0,2391,637,0,0,0,0,0,16385,0,AK,0,,,,,,0,0,12/31/2000,0,0
H8AK00074,"DUNCAN, JIM (JAMES W DUNCAN)",C,1,DEM,37591,0,38808,0,1216,0,0,8891,0,2052,0,0,20122,AK,0,,,,,,0,0,1/31/2000,1000,0
H8AK00082,"PECHEK, STU",C,1,DEM,12274,0,232,0,232,0,12274,0,0,0,0,0,0,AK,0,,,,,,0,0,1/25/1999,0,0
H2AK00069,"COLLINS, VIRGINIA MARIE",C,2,REP,40,0,0,0,1631,1673,0,0,0,0,0,49150,0,AK,0,,,,,,0,0,12/31/1999,0,0
H6AK00045,"YOUNG, DONALD",I,2,REP,1297578,0,1030168,0,13566,280975,0,0,0,0,0,0,620441,AK,0,,W,,W,70,657013,294,12/31/2000,8300,4000
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,335839,0,344493,2750,179163,170506,0,0,0,0,0,0,131750,AL,1,,W,,W,91,197872,0,12/31/2000,2000,0
H2AL02042,"WALLACE, GEORGE C JR",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,24080,0,AL,2,,,,,,0,0,6/30/1999,0,0
H8AL02072,"FONDREN, GERALD JOSEPH",C,1,DEM,6474,0,5744,0,27,0,254,0,0,0,0,0,6220,AL,2,,L,,,0,0,0,9/30/2000,0,0
H2AL02067,"EVERETT, TERRY",I,2,REP,1242951,0,1424354,0,190882,9477,0,450000,249373,1119373,0,229373,272540,AL,2,,W,,W,68,270985,0,12/31/2000,0,3725
H6AL02050,"DICKINSON, WILLIAM LOUIS",C,2,REP,6488,0,106849,0,187389,88303,0,0,0,0,0,0,0,AL,2,,,,,,0,0,12/31/2000,0,0
H0AL02079,"MCGAHAN, WALLACE BYRON JR",C,3,LIB,2974,0,1194,0,2974,1780,1994,0,0,0,0,0,980,AL,2,,W,,L,2,0,0,11/7/2000,0,0
H0AL03036,"BROWDER, JOHN GLEN",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,3,,,,,,0,0,12/31/1999,0,0
H6AL03074,"LITTLE, T D (TED)",C,1,DEM,0,0,0,0,793,818,0,0,0,0,0,101500,0,AL,3,,,,,,0,0,12/31/2000,0,0
H8AL03039,"TURNHAM, JOE",C,1,DEM,111763,0,112127,0,852,235,0,67136,43695,81400,25050,59935,140,AL,3,,,,,,0,0,12/31/2000,0,0
H6AL03058,"RILEY, BOB",I,2,REP,915999,0,735123,25000,634,160064,0,260130,0,160040,50050,53911,257725,AL,3,,W,,W,87,391514,2455,12/31/2000,0,0
H0AL04026,"FOLSOM, MARSHA GUTHRIE",C,1,DEM,1222152,0,1234744,0,0,1995,0,100050,0,100050,0,0,768227,AL,4,,W,,L,37,313775,29522,12/31/2000,5050,2500
H6AL04072,"HAWK, HOWARD GRIFFITH",C,1,DEM,0,0,0,0,1300,1300,0,0,0,0,0,3165,0,AL,4,,,,,,0,0,12/31/2000,0,0
H6AL04106,"WILSON, ROBERT T (BOB) JR",C,1,DEM,164000,0,164183,0,2345,2161,89000,75000,0,154999,0,459233,0,AL,4,,,,,,0,0,12/31/2000,0,0
H8AL04037,"BEVILL, DONALD H",C,1,DEM,1206,0,2725,0,1519,0,0,0,0,1646,0,73353,0,AL,4,,,,,,0,0,6/30/1999,0,0
H6AL04098,"ADERHOLT, ROBERT BROWN",I,2,REP,1739251,0,1683278,0,49105,105079,0,200000,0,100000,0,100000,820886,AL,4,,W,,W,61,646969,24423,12/31/2000,2000,1000
H0AL05049,"CRAMER, ROBERT E ""BUD""",I,1,DEM,1263837,0,512728,15000,54894,804000,0,0,0,0,0,0,668729,AL,5,,W,,W,89,538486,6839,12/31/2000,4950,0
H6AL05038,"FLIPPO, RONNIE G",C,1,DEM,96879,0,77021,0,622850,642691,0,0,0,0,0,0,0,AL,5,,,,,,0,0,12/31/2000,0,0
H4AL05025,"PARKER, WAYNE JR",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,8250,0,AL,5,,,,,,0,0,12/31/2000,0,0
H4AL05033,"MCINNISH, HUGH",C,2,REP,0,0,120,0,609,489,0,0,0,0,0,12993,0,AL,5,,,,,,0,0,12/31/1999,0,0
