Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H4AK01022,"WHITMORE, JONI LEE",,1,DEM,0,0,737,0,737,0,0,0,0,0,0,1335,0,AK,0,,,,,,0,0,1/23/1997,0,0
H6AK01019,"LINCOLN, GEORGIANNA",,1,DEM,16646,0,14747,0,491,2391,0,0,0,2500,10000,16385,13404,AK,0,,,,,,3000,0,12/31/1998,500,0
H8AK00074,"DUNCAN, JIM (JAMES W DUNCAN)",C,1,DEM,572111,0,570894,0,0,1216,7344,2500,0,0,0,24649,471669,AK,0,,W,,L,35,67660,15200,12/31/1998,1050,300
H8AK00082,"PECHEK, STU",C,1,DEM,40061,0,39828,0,0,232,2597,11000,0,0,0,12502,26106,AK,0,,L,,,0,0,45,12/31/1998,1567,0
H2AK00069,"COLLINS, VIRGINIA MARIE",,2,REP,88,0,0,0,1542,1631,0,0,0,0,0,49150,0,AK,0,,,,,,0,0,12/31/1998,0,0
H6AK00045,"YOUNG, DONALD",I,2,REP,1371426,0,1385073,13000,27213,13566,0,0,0,0,0,0,674910,AK,0,,W,,W,63,662948,10953,12/31/1998,8990,3000
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,354389,0,263347,0,88123,179163,0,0,0,0,0,0,153981,AL,1,,W,,W,100,177685,0,12/31/1998,0,0
H2AL02042,"WALLACE, GEORGE C JR",C,1,DEM,9129,0,9827,0,698,0,167,0,0,7593,0,24080,8950,AL,2,,,,,,0,0,12/31/1998,0,0
H8AL02072,"FONDREN, GERALD JOSEPH",C,1,DEM,22164,0,22134,0,0,27,3854,0,0,0,0,0,15310,AL,2,,W,,L,31,2500,3000,12/31/1998,100,0
H2AL02067,"EVERETT, R TERRY",I,2,REP,749837,0,567408,0,8456,190882,0,300000,0,326499,0,649373,254430,AL,2,,W,,W,69,193950,13,12/31/1998,0,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",C,2,REP,3084,0,39192,0,223460,187354,0,0,0,0,0,0,0,AL,2,,,,,,0,0,12/31/1998,0,0
H0AL03036,"BROWDER, JOHN GLEN",C,1,DEM,154,0,154,0,0,0,0,154,0,0,0,0,0,AL,3,,,,,,0,0,12/31/1998,0,0
H6AL03074,"LITTLE, T D (TED)",C,1,DEM,4448,0,9446,0,5843,793,0,0,0,2500,0,101500,950,AL,3,,,,,,0,0,12/31/1998,0,0
H6AL03082,"WILLIS, GERALD",C,1,DEM,162047,0,162903,0,855,0,162047,0,0,161629,0,0,0,AL,3,,,,,,0,0,3/31/1997,0,0
H8AL03039,"TURNHAM, JOE",C,1,DEM,447903,0,447051,0,0,852,0,64050,0,0,10000,54050,227434,AL,3,,W,,L,42,139125,14449,12/31/1998,350,0
H4AL03038,"HAND, BENNY C",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,3,,,,,,0,0,1/30/1997,0,0
H6AL03041,"SEXTON, WILLIAM JACK",C,2,REP,7655,0,7852,0,197,0,4147,2508,0,7000,0,0,0,AL,3,,,,,,1000,0,6/27/1998,0,0
H6AL03058,"RILEY, BOB",I,2,REP,1986617,14311,1985984,0,0,634,0,845000,0,987012,0,69393,482035,AL,3,,W,,W,58,606701,21176,12/31/1998,1800,0
H6AL03090,"HAGANS, RICK",C,2,REP,2419,0,2619,0,200,0,1500,0,0,1500,600,0,919,AL,3,,,,,,0,0,12/27/1997,0,0
H2AL02034,"CAMP, BILLY JOE",C,1,DEM,95135,0,95954,0,819,0,81700,0,0,65120,22000,70429,11150,AL,4,,,,,,0,2250,12/31/1997,0,0
H6AL04023,"BEVILL, TOM",C,1,DEM,0,0,301458,276037,304747,3288,0,0,0,0,0,0,0,AL,4,,,,,,0,0,6/30/1997,0,0
H6AL04072,"HAWK, HOWARD GRIFFITH",C,1,DEM,608,0,594,0,1286,1300,0,0,0,0,0,3165,0,AL,4,,,,,,0,0,12/31/1998,0,0
H6AL04106,"WILSON, ROBERT T (BOB) JR",C,1,DEM,598842,0,596634,0,395,2345,0,452137,80000,131346,99356,539233,48179,AL,4,,L,,,0,13500,3667,12/31/1998,6000,0
H8AL04037,"BEVILL, DONALD H",C,1,DEM,663746,0,662224,0,0,1519,0,80000,20000,5000,135847,75000,341913,AL,4,,W,,L,44,183750,34700,12/31/1998,5000,0
H6AL04056,"GUESS, BARRY MACKLIN",C,2,REP,0,0,743,0,743,0,0,0,0,0,0,8130,0,AL,4,,,,,,0,0,4/30/1997,0,0
