Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H0AK00014,"WHITTAKER, RICHARD",,1,DEM,1116,0,764,0,0,0,0,0,0,0,0,0,0,AK,0,,L,,L,0,0,0,10/15/1980,0,0
H0AK01012,"PARNELL, KEVIN ""PAT""",,1,DEM,51643,0,51607,0,0,0,0,0,0,0,0,0,0,AK,0,,W,,L,26,0,0,12/31/1980,0,0
H6AK00029,"HENSLEY, WILLIAM L.",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,12/31/1980,0,0
H6AK00102,"HOPSON, EBEN",,1,DEM,0,0,390,0,0,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,12/31/1980,0,0
H8AK00025,"RODEY, PATRICK",,1,DEM,6057,0,2919,0,0,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,12/31/1980,0,0
H6AK00045,"YOUNG, DON",I,2,REP,253003,0,257387,0,0,0,0,0,0,0,0,0,0,AK,0,,W,,W,74,0,0,12/31/1980,0,0
H8AK00017,"COWPER, STEPHEN CAMBRELENG",,2,REP,7000,0,10978,0,0,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,12/31/1979,0,0
H8AL01017,"PAUL, BILLY MAX",,1,DEM,0,0,165,0,0,0,0,0,0,0,0,0,0,AL,1,,,,,,0,0,7/31/1980,0,0
H8AL01025,"NOONAN, LIONEL WINSTON",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,1,,,,,,0,0,9/30/1979,0,0
H6AL01011,"EDWARDS, JACK",I,2,REP,37675,0,26731,0,0,0,0,0,0,0,0,0,0,AL,1,,,,W,95,0,0,12/31/1980,0,0
H0AL02012,"WYATT, CECIL",,1,DEM,15404,0,11187,0,0,0,0,0,0,0,0,0,0,AL,2,,,,L,37,0,0,1/31/1981,0,0
H8AL02023,"MITCHELL, WENDELL W.",,1,DEM,16231,0,16662,0,0,0,0,0,0,0,0,0,0,AL,2,,,,,,0,0,12/31/1979,0,0
H6AL02050,"DICKINSON, HON. WILLIAM L.",I,2,REP,162419,0,105302,0,0,0,0,0,0,0,0,0,0,AL,2,,,,W,61,0,0,12/31/1980,0,0
