Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H2AK00028,"MALLOTT, RONALD CREIGHTON",,1,DEM,1067,0,1067,0,0,0,1067,0,0,0,0,2043,613,AK,0,,,,,,0,0,10/15/1988,0,0
H8AK00033,"GRUENSTEIN, PETER",,1,DEM,402694,0,402477,0,0,217,1868,70413,0,0,0,83934,209379,AK,0,,W,,L,37,99084,19299,12/31/1988,0,500
H8AK00058,"VICK, EUGENE E. ""GENE""",,1,DEM,2510,0,2510,0,0,0,2210,0,0,0,0,0,300,AK,0,,L,,,0,0,0,9/30/1988,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,623760,0,626377,0,12010,9394,0,0,0,0,0,36349,296321,AK,0,,W,,W,63,297250,21028,12/31/1988,1750,1000
H4AL01016,"ALEXANDER, DAN C JR",C,1,DEM,0,0,0,0,12096,12096,0,0,0,0,0,29800,0,AL,1,,,,,,0,0,12/31/1988,0,0
H4AL01040,"MCRIGHT, FRANK",C,1,DEM,62459,0,63173,0,714,0,8679,0,0,55000,0,0,52860,AL,1,,,,,,920,0,2/22/1988,0,0
H8AL01033,"TYSON, JOHN M JR",,1,DEM,128136,0,125029,0,0,3105,100,0,0,0,0,2500,62251,AL,1,,W,,L,40,52400,13053,12/31/1988,1250,0
H4AL01024,"STOUDENMIRE, WILLIAM WARD",C,2,REP,0,0,39,0,39,39,0,0,0,0,0,19199,0,AL,1,,,,,,0,0,12/31/1988,0,0
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,596631,0,651127,0,156236,101741,0,0,0,0,0,0,314219,AL,1,,W,,W,59,253301,6881,12/31/1988,140,1000
H6AL02100,"STONE, CHARLES MERCER",,1,DEM,6822,0,6822,0,0,0,0,3737,0,2000,0,0,0,AL,2,,,,,,0,0,9/28/1988,4822,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",I,2,REP,304708,0,234923,0,351585,421368,0,0,0,0,0,0,117145,AL,2,,W,,W,94,168639,3996,12/31/1988,0,0
H6AL03025,"NICHOLS, BILL",I,1,DEM,230584,0,120303,500,356616,466898,0,0,0,0,0,0,74186,AL,3,,W,,W,96,89186,0,12/31/1988,0,250
H8AL03013,"MCLAUGHLIN, TED",,1,DEM,8150,0,7830,0,0,319,0,7050,0,0,0,7050,1100,AL,3,,L,,,0,0,0,5/20/1988,0,0
H6AL03017,"GUERIN, WHITCOMB HALSEY",,2,REP,0,0,4,0,211,207,0,0,0,0,0,19207,0,AL,3,,,,,,0,0,12/31/1988,0,0
H6AL04023,"BEVILL, TOM",I,1,DEM,206806,0,130642,0,437485,513647,0,0,0,0,0,0,53440,AL,4,,W,,W,96,94850,0,12/31/1988,350,500
H6AL04015,"DE SHAZO, ALBERT FRANCIS",,2,REP,2711,0,2997,0,0,0,2711,1882,0,2997,0,0,0,AL,4,,,,,,0,0,6/30/1987,0,0
H6AL05038,"FLIPPO, RONNIE GENE",I,1,DEM,711580,0,504570,0,603947,810958,0,0,6000,0,6000,0,177157,AL,5,,W,,W,64,445960,1000,12/31/1988,1966,1000
H8AL05042,"MCDONALD, STAN",,2,REP,145297,0,145327,0,0,-11,5800,0,0,0,0,29,115495,AL,5,,W,,L,35,14594,0,12/31/1988,2350,1150
